No	case_id	状況	現行タグ	ケース名
1	I0000030	アーカイブ	政治参加・表現の自由	「海外でも国民審査を」訴訟【アーカイブ】
2	I0000041	アーカイブ	公正な手続, 外国にルーツを持つ人々	カメルーン人男性死亡事件国賠訴訟【アーカイブ】
3	I0000046	アーカイブ	政治参加・表現の自由	在外選挙権確認訴訟【アーカイブケース】
4	I0000049	アーカイブ	政治参加・表現の自由	レペタ訴訟【アーカイブ】
5	I0000054	アーカイブ	外国にルーツを持つ人々	ネパール人取調べ中死亡国賠訴訟事件【アーカイブ】
6	I0000056	アーカイブ	政治参加・表現の自由, 外国にルーツを持つ人々	マクリーン事件【アーカイブ】
7	I0000060	アーカイブ	公正な手続	ジャーナリストに渡航の自由を！訴訟【アーカイブ】
8	I0000063	アーカイブ	外国にルーツを持つ人々	クルド難民収容者暴行被害国賠訴訟【アーカイブ】
9	I0000064	アーカイブ	公正な手続, ジェンダー・セクシュアリティ	「セックスワークにも給付金を」訴訟 【アーカイブ】
10	I0000068	アーカイブ	公正な手続, 医療・福祉・障がい	「鳥は空に魚は水に人は社会に」訴訟【アーカイブ】
11	I0000069	アーカイブ	公正な手続	「LINE」を用いた住民票請求サービスの適法性確認請求事件【アーカイブ】
12	I0000070	アーカイブ	働き方	「人間を育てる教員に、人間らしい働き方を」訴訟【アーカイブ】
13	I0000071	アーカイブ	公正な手続	コロナ禍、日本社会の理不尽を問う（コロナ特措法違憲訴訟）【アーカイブ】
14	I0000075	アーカイブ	ジェンダー・セクシュアリティ	オペなしで！戸籍上も「俺」になりたい裁判【アーカイブ】
15	I0000076	アーカイブ	沖縄	「琉球人のご先祖の遺骨返還を」訴訟【アーカイブ】
16	I0000078	アーカイブ	公正な手続, 働き方	教育公務員の兼業のあり方を問う訴訟【アーカイブ】
17	I0000080	アーカイブ	政治参加・表現の自由	地方議会に横行する「少数派議員潰し」に立ち向かう訴訟【アーカイブ】
18	I0000083	アーカイブ	外国にルーツを持つ人々, 刑事司法, ジェンダー・セクシュアリティ, 働き方	ベトナム人技能実習生リンさんの死体遺棄罪刑事事件【アーカイブ】
19	I0000084	アーカイブ	刑事司法	大川原化工機事件 〜無実で約１年勾留「人質司法」問題をただす〜【アーカイブ】
20	I0000086	アーカイブ	医療・福祉・障がい	優生保護法に奪われた人生を取り戻す裁判【アーカイブ】
21	I0000087	アーカイブ	公正な手続, 情報公開	赤ちゃん取り違え被害者に「出自を知る権利を」訴訟【アーカイブ】
22	I0000090	アーカイブ	政治参加・表現の自由	司法の独立を脅かす岡口裁判官の罷免訴追に反対します！【アーカイブ】
23	I0000092	アーカイブ	情報公開	イラク戦争検証報告書情報公開訴訟【アーカイブ】
24	I0000093	アーカイブ	情報公開	日米合同委員会議事録情報公開訴訟【アーカイブ】
25	I0000095	アーカイブ	公正な手続, 政治参加・表現の自由	『宮本から君へ』助成金不交付決定取消訴訟【アーカイブ】
26	I0000104	アーカイブ	公正な手続, 政治参加・表現の自由, 個人情報・プライバシー	公安警察による市民運動の監視を許さない。市民の「もの言う」自由を守るための訴訟【アーカイブ】
27	I0000105	アーカイブ	働き方, 医療・福祉・障がい	「子どもと向き合う時間がほしい」児童相談所の労働環境改善を！訴訟【アーカイブ】
28	I0000109	アーカイブ	刑事司法	新宿留置場事件【アーカイブ】
29	I0000111	アーカイブ	外国にルーツを持つ人々, ジェンダー・セクシュアリティ	日米同性カップル在留資格訴訟  〜家族そろって日本で暮らすために〜【アーカイブ】
30	I0000112	アーカイブ	働き方	家事労働者にも労災認定を！訴訟 【アーカイブ】
31	I0000119	アーカイブ	公正な手続, 環境・災害	“コロナ感染者立ち寄りで店名公表”は違法！訴訟【アーカイブ】
32	I0000121	アーカイブ	環境・災害	神戸石炭訴訟｜気候変動と大気汚染を防ぐため、石炭火力発電所新設は取り消しを！【アーカイブ】
33	I0000125	アーカイブ	外国にルーツを持つ人々	婚外子国籍訴訟 —国籍法3条1項は違憲—【アーカイブ】
34	I0000133	アーカイブ	公正な手続, 環境・災害	「イチョウと住民自治を守ろう」訴訟【アーカイブ】
35	I0000141	アーカイブ	公正な手続, 政治参加・表現の自由, 沖縄	要件を満たす島民の請求を市長が拒否！石垣島住民投票の権利を問う裁判【アーカイブ】
36	I0000160	アーカイブ	刑事司法, 医療・福祉・障がい	刑務所での強制ひげ剃りと懲罰 ～医師の所見を無視した処遇の違法性を問う手書き裁判～【アーカイブ】
37	I0000165	アーカイブ	公正な手続	「ヒグマハンターの猟銃を取り戻す」訴訟【アーカイブ】
38	I0000171	アーカイブ	外国にルーツを持つ人々	入管職員による人種差別と暴行事件【アーカイブ】
39	I0000031	進行中	ジェンダー・セクシュアリティ	結婚の自由をすべての人に訴訟（同性婚訴訟）
40	I0000052	進行中	刑事司法, 情報公開	警察庁が保有する秘密個人情報ファイル簿の情報公開訴訟
41	I0000053	進行中	公正な手続, 環境・災害	鬼怒川大水害訴訟
42	I0000061	進行中	公正な手続, 環境・災害	野村ダム緊急放流による水害訴訟
43	I0000062	進行中	公正な手続, 環境・災害	羽田空港新ルート設定の取消訴訟
44	I0000067	進行中	刑事司法, ジェンダー・セクシュアリティ	「同性パートナーにも犯罪被害の遺族給付金を」訴訟
45	I0000081	進行中	公正な手続, 環境・災害	市街地でＢＳＬ４の研究をしないでください
46	I0000082	進行中	情報公開	隠される「国の事故調査」プロセスを明らかに！訴訟
47	I0000085	進行中	外国にルーツを持つ人々, 刑事司法	「人種差別を許さない」訴訟　～警察官による母子の不当聴取と個人情報の漏洩～
48	I0000094	進行中	外国にルーツを持つ人々	ウィシュマさん名古屋入管死亡事件
49	I0000096	進行中	外国にルーツを持つ人々	「日本の入管収容は国際人権法違反」訴訟
50	I0000106	進行中	公正な手続	本人の意思を無視して日本国籍を一方的にはく奪する「国籍法11条1項は違憲」訴訟
51	I0000114	進行中	公正な手続, 刑事司法, 医療・福祉・障がい	受刑者にも適切な医療を！刑務所医療過誤事件
52	I0000115	進行中	公正な手続, 環境・災害	市民との約束を無視して進む「新焼却炉建設」を止める訴訟
53	I0000116	進行中	外国にルーツを持つ人々, 働き方	「会計年度任用職員にも労働基本権を！」訴訟
54	I0000117	進行中	公正な手続, 政治参加・表現の自由	立候補年齢引き下げ訴訟
55	I0000120	進行中	公正な手続, 環境・災害	神宮外苑を守ろう訴訟｜100年の歴史と3000本超の樹木を未来へ
56	I0000123	進行中	公正な手続, 政治参加・表現の自由	県知事の公務での護国神社参拝取りやめをー政教分離原則の違反を問うー
57	I0000124	進行中	公正な手続, 医療・福祉・障がい	恵庭市「障害者虐待」隠ぺい事件　〜元市議への忖度による放置を許さない〜
58	I0000128	進行中	外国にルーツを持つ人々	人種差別的な職務質問をやめさせよう！訴訟｜#STOPレイシャルプロファイリング
59	I0000129	進行中	ジェンダー・セクシュアリティ, 働き方	「共働き妻を亡くした夫にも遺族年金を」訴訟
60	I0000130	進行中	刑事司法	日本の「黙秘権」を問う訴訟 〜56時間にわたる侮辱的な取調べは違法〜 
61	I0000131	進行中	ジェンダー・セクシュアリティ	夫婦別姓も選べる社会へ！訴訟
62	I0000132	進行中	ジェンダー・セクシュアリティ, 医療・福祉・障がい	「わたしの体は母体じゃない」訴訟
63	I0000134	進行中	ジェンダー・セクシュアリティ	わたしたちはもう待てない〜同性婚仙台家事審判事件
64	I0000135	進行中	外国にルーツを持つ人々	難民帰化訴訟〜真に社会の一員へ〜
65	I0000136	進行中	公正な手続, 働き方	地域による報酬格差は違憲！裁判官の独立と良心を守る訴訟
66	I0000139	進行中	ジェンダー・セクシュアリティ	既婚を理由に法的性別取扱い変更を認めないのは違憲！「なんでうちらが離婚せなあかんの？」裁判
67	I0000142	進行中	働き方, 医療・福祉・障がい	若者の志と人生を尊重する地域枠医師制度のために　～高額違約金は違法！～
68	I0000143	進行中	公正な手続, 環境・災害	リニアトンネル工事で街を壊さないで 〜平穏生活権を侵害する大深度法の違憲性を問う〜
69	I0000146	進行中	公正な手続, 政治参加・表現の自由, 情報公開	「学術会議の独立性」を市民で守ろう ～会員任命拒否理由の情報公開訴訟～
70	I0000148	進行中	刑事司法	おかゆ強制はおかしい！刑事施設における不要な食事制限の撤廃を求める裁判 
71	I0000149	進行中	公正な手続, 政治参加・表現の自由	オープンコート訴訟 —法廷の“秩序”を問う—
72	I0000150	進行中	公正な手続, 情報公開	政府が開示を拒否する、安倍元首相の「国葬文書」開示を！訴訟
73	I0000151	進行中	政治参加・表現の自由	「18歳未満にも選挙で応援する自由を」訴訟
74	I0000152	進行中	働き方	保育料を経費に！訴訟
75	I0000154	進行中	公正な手続	「無効のはずの廃園条例、なぜ続く？」— 子どもたちの保育環境を守るための訴訟
76	I0000155	進行中	刑事司法	人質司法に終止符を！訴訟
77	I0000156	進行中	医療・福祉・障がい	病院でよく出る薬を、薬局ですぐ買える「零売」を守る訴訟
78	I0000157	進行中	公正な手続, 政治参加・表現の自由, 刑事司法	「取調べ拒否」Tシャツを奪うな！―黙秘権と表現の自由を守る訴訟
79	I0000159	進行中	ジェンダー・セクシュアリティ	日本でもマリアージュしたいねん～海外で成立した同性婚の受理を求める裁判～
80	I0000164	進行中	政治参加・表現の自由	引越しで選挙権が制限されない未来へ！訴訟
81	I0000167	進行中	環境・災害	気候正義訴訟－Climate Justice－
82	I0000169	進行中	公正な手続, 環境・災害	平和の島であるために ― 馬毛島の自然と自治を守る裁判
83	I0000170	進行中	公正な手続, 環境・災害	再開発は誰のため？いわき市の「不公正な行政契約は違法」訴訟
84	I0000172	進行中	公正な手続, 刑事司法	袴田巌さん国家賠償請求訴訟 ―半世紀のえん罪、国の責任を問う
85	I0000173	進行中	公正な手続, 刑事司法	【大川原化工機事件】裁判官の責任を問う訴訟
86	I0000176	進行中	公正な手続	不透明な契約・区長の教育行政介入を問う住民訴訟 〜文京区の教育は誰のもの？
87	I0000178	進行中	外国にルーツを持つ人々, ジェンダー・セクシュアリティ	私として生きる権利を求めて。アイコさん難民不認定取消訴訟
88	I0000179	進行中	公正な手続, 政治参加・表現の自由	海外有権者の一票を守れ！在外選挙制度を問う訴訟
