No,case_id,状況,メモ,ケース名,概要,現行タグ,修正後タグ,変更あり?,コメント・理由,確認者,CALL4最終判断,URL
1,I0000030,アーカイブ,,「海外でも国民審査を」訴訟【アーカイブ】,海外でも国民審査を実現するために、制度の改善を求めています。,政治参加・表現の自由,政治参加・表現の自由,,,,,https://www.call4.jp/info.php?type=items&id=I0000030
2,I0000041,アーカイブ,,カメルーン人男性死亡事件国賠訴訟【アーカイブ】,2014年3月30日、茨城県牛久市の入管収容所に収容中のカメルーン人男性が、大声で「死にそうだ」と訴えながら放置され、死に至った事件。,"公正な手続, 外国にルーツを持つ人々","公正な手続, 外国にルーツを持つ人々",,,,,https://www.call4.jp/info.php?type=items&id=I0000041
3,I0000046,アーカイブ,,在外選挙権確認訴訟【アーカイブケース】,海外に居住することを理由に選挙権の行使の機会を保障しないことの違憲性を訴えた事件 ※この事件は、訴訟資料アーカイブプロジェクトの対象事件です。訴訟はすでに終結しています。,政治参加・表現の自由,政治参加・表現の自由,,,,,https://www.call4.jp/info.php?type=items&id=I0000046
4,I0000049,アーカイブ,,レペタ訴訟【アーカイブ】,裁判の傍聴に際して傍聴席でメモを取れないことの違法性を争った事件（この事件の前は、メモを取ることが一律に禁止されていました）。 ※この事件は、訴訟資料アーカイブプロジェクトの対象事件です。訴訟はすでに終結しています。,政治参加・表現の自由,政治参加・表現の自由,,,,,https://www.call4.jp/info.php?type=items&id=I0000049
5,I0000054,アーカイブ,,ネパール人取調べ中死亡国賠訴訟事件【アーカイブ】,両手に手錠をはめられたまま始められた検事の取調べ中、片方の手錠が外されるや突然白目をむいて意識不明となり不審な死を遂げたネパール国籍の男性の遺族が、身体拘束及びその解除の方法が不適切であったために男性が死亡したとして国家賠償請求を提起した事件です。,外国にルーツを持つ人々,外国にルーツを持つ人々,,,,,https://www.call4.jp/info.php?type=items&id=I0000054
6,I0000056,アーカイブ,,マクリーン事件【アーカイブ】,日本国内における政治活動を理由として外国人の在留期間更新を拒否した法務大臣の処分の違憲性・違法性が争われた事件。 ※この事件は、訴訟資料アーカイブプロジェクトの対象事件です。訴訟はすでに終結しています。,"政治参加・表現の自由, 外国にルーツを持つ人々","政治参加・表現の自由, 外国にルーツを持つ人々",,,,,https://www.call4.jp/info.php?type=items&id=I0000056
7,I0000060,アーカイブ,,ジャーナリストに渡航の自由を！訴訟【アーカイブ】,国からパスポートの発給を拒否され、海外へ渡航できなくなった安田純平さんが、発給拒否処分が違憲・違法であるとして、２０２０年１月９日に国を相手にパスポートの発給等を求めています。,公正な手続,公正な手続,,,,,https://www.call4.jp/info.php?type=items&id=I0000060
8,I0000063,アーカイブ,,クルド難民収容者暴行被害国賠訴訟【アーカイブ】,2019年1月19日午前0時過ぎ、茨城県牛久市の入国者収容所に収容されていたクルド人難民デニズさんが、「制圧行為」と称して、職員らから、手錠をかけられたまま暴行を受ける事件が発生しました。本訴訟は、この事件の違法性を問う国家賠償請求事件です。,外国にルーツを持つ人々,外国にルーツを持つ人々,,,,,https://www.call4.jp/info.php?type=items&id=I0000063
9,I0000064,アーカイブ,,「セックスワークにも給付金を」訴訟 【アーカイブ】,※2025年6月16日の上告棄却判決により敗訴判決が確定しました。 国から「国民の理解を得られない」としてコロナ給付の対象から除外され差別を受けた性風俗店が、国に対しての訴訟を行います。訴訟を通じて『セックスワークisワーク』の意味が多くの人に伝わることを願います（原告はデリバリーヘルスの事業者です。性風俗店で働くキャストは、届け出をする事業者でない限り、給付の対象です）。,"公正な手続, ジェンダー・セクシュアリティ","公正な手続, ジェンダー・セクシュアリティ",,,,,https://www.call4.jp/info.php?type=items&id=I0000064
10,I0000068,アーカイブ,,「鳥は空に魚は水に人は社会に」訴訟【アーカイブ】,精神病院に閉じ込められたまま人生の大部分を過ごす人たちが多くいます。精神障害を持つ人も地域で暮らせるようにという世界の潮流に逆行した日本の精神医療は、国際的にも大きな批判を浴びています。この訴訟は、日本の悲惨な精神医療を長年にわたり放置してきた政府の不作為責任を問い、国家賠償請求を行うものです。私たちは、この訴訟を通じて、病院中心に偏った精神医療から地域精神医療への転換が行われることを目指します。,"公正な手続, 医療・福祉・障がい","公正な手続, 医療・福祉・障がい",,,,,https://www.call4.jp/info.php?type=items&id=I0000068
